"Codigo","TITULO","Data (campo 5)","Data criação (campo 333a)","Criado por (campo 333b)"
"01354-02","EXTREMOS DO PRAZER","-","-","-"
"-","ANCHIETA O APÓSTOLO DO BRASIL","-","-","-"
"01354-03e04","EXTREMOS DO PRAZER","-","-","-"
"01359-05e06","DONZELO, O","-","-","-"
"01349-03","-","-","-","-"
"01349-04","-","-","-","-"
"01349-01e02","LOVELY TO LOOK AT","-","-","-"
"01347-02","VAI E VEM À BRASILEIRA","-","-","-"
"01347-07e08","VAI E VEM À BRASILEIRA","-","-","-"
"01347-05e06","VAI E VEM À BRASILEIRA","-","-","-"
"01347-03e04","VAI E VEM À BRASILEIRA","-","-","-"
"01365-01","GRAZIE, ZIA","-","-","-"
"01365-02","GRAZIE, ZIA","-","-","-"
"01362-04","CASTELO DAS TARAS, O","-","-","-"
"01343-02","MULHERES AMAM POR CONVENIÊNCIA, AS","-","-","-"
"01354-07e08","GATAS : MULHERES DE ALUGUEL, As","-","-","-"
"04158-03","MILAGRE O PODER DA FÉ, O","19950802","-","-"
"01354-05","GATAS : MULHERES DE ALUGUEL, As","-","-","-"
"01354-06","GATAS : MULHERES DE ALUGUEL, As","-","-","-"
"01341-02","AMOR VORAZ","-","-","-"
"01344-02","DIACUÍ : A VIAGEM DE VOLTA","-","-","-"
"01352-05","FULVIO PENACCHI","-","-","-"
"01351-03","LIXO ATÔMICO","-","-","-"
"01353-02","DA TERRA NASCE O ODIO","-","-","-"
"01353-03e04","DA TERRA NASCE O ODIO","-","-","-"
"01351-01","LIXO ATÔMICO","-","-","-"
"01351-02","LIXO ATÔMICO","-","-","-"
"01359-03","DONZELO, O","-","-","-"
"01335-02","SERVIÇO CERTO... E UM CERTO SERVIÇO, UM","-","-","-"
"01335-01","SERVIÇO CERTO... E UM CERTO SERVIÇO, UM","-","-","-"
"01296-08","OURO VERDE","-","-","-"
"01342-01","MOTEL O REFÚGIO DO AMOR","-","-","-"
"01342-02","MOTEL O REFÚGIO DO AMOR","-","-","-"
"01342-03","MOTEL O REFÚGIO DO AMOR","-","-","-"
"01342-04","MOTEL O REFÚGIO DO AMOR","-","-","-"
"01360-01","-","-","-","-"
"01360-02","-","-","-","-"
"01360-03","-","-","-","-"
"01360-04","-","-","-","-"
"01355-06","-","-","-","-"
"01355-06e08","-","-","-","-"
"01302-01","ANTES DO GALO CANTAR","-","-","-"
"01302-02","ANTES DO GALO CANTAR","-","-","-"
"01305-02","-","-","-","-"
"01303-01","FOGUETE ZÉ CARNEIRO, O","-","-","-"
"01303-02","FOGUETE ZÉ CARNEIRO, O","-","-","-"
"01329-01","DEUSES E OS MORTOS, Os","-","-","-"
"01291-08","PRESENÇA DE MARISA","-","-","-"
"01287-01","NO PAÍS DO SÃO FRANCISCO","-","-","-"
"01287-02","NO PAÍS DO SÃO FRANCISCO","-","-","-"
"01292-02","NINFAS DIABÓLICAS","-","-","-"
"01296-01e02","SISTEMA VIÁRIO DO SALVADOR","-","-","-"
"01331-01","CARABINEIROS DO VALE","-","-","-"
"01331-01e02","CARABINEIROS DO VALE","-","-","-"
"01331-02","CARABINEIROS DO VALE","-","-","-"
"01331-03e04","CARABINEIROS DO VALE","-","-","-"
"04158-02","MILAGRE O PODER DA FÉ, O","19950802","-","-"
"01320-01","BONECAS DIABÓLICAS","-","-","-"
"01350-05","SIGNO DE ESCORPIÃO, O","-","-","-"
"01350-06","SIGNO DE ESCORPIÃO, O","-","-","-"
"01320-02","BONECAS DIABÓLICAS","-","-","-"
"01320-03e04","BONECAS DIABÓLICAS","-","-","-"
"01363-03e04","DIA DAS PROFISSIONAIS, O","-","-","-"
"01366-02","HIDING PLACE, The","-","-","-"
"04158-01","MILAGRE O PODER DA FÉ, O","19950802","-","-"
"04154-08","MURILO MENDES : A POESIA EM PÂNICO","-","-","-"
"01287-05","VITAL BRASIL E O INSTITUTO BUTANTAN","-","-","-"
"01287-06","VITAL BRASIL E O INSTITUTO BUTANTAN","-","-","-"
"01327-01","VINGANÇA DE UMA MULHER, A","-","-","-"
"01327-02","VINGANÇA DE UMA MULHER, A","-","-","-"
"01327-03e04","VINGANÇA DE UMA MULHER, A","-","-","-"
"01307-06","BEIJO DA MULHER ARANHA, O","-","-","-"
"01277-01","SINFONIA DAS ESTÁTUAS","-","-","-"
"01277-02","SINFONIA DAS ESTÁTUAS","-","-","-"
"01305-01","-","-","-","-"
"01305-03e04","-","-","-","-"
"01277-05e06","AQUICULTURA","-","-","-"
"01364-01","TRAVESSURAS DE PEDRO MALAZARTES, AS","-","-","-"
"01277-03","APAIARI","-","-","-"
"01277-04","APAIARI","-","-","-"
"01460-03e04","ÚLTIMO VÔO DO CONDOR, O","-","-","-"
"01364-02","TRAVESSURAS DE PEDRO MALAZARTES, AS","-","-","-"
"01364-03","TRAVESSURAS DE PEDRO MALAZARTES, AS","-","-","-"
"01296-05","FÉRIAS NA BAHIA","-","-","-"
"01262-01","BUMBA","-","-","-"
"01324-02","ESTRELA NUA","-","-","-"
"01297-03","CENTRO INDUSTRIAL DE ARATU : ANO 1","-","-","-"
"01297-04","CENTRO INDUSTRIAL DE ARATU : ANO 1","-","-","-"
"01297-05e06","CENTRO INDUSTRIAL DE ARATU : ANO 1","-","-","-"
"01363-01","DIA DAS PROFISSIONAIS, O","-","-","-"
"01363-02","DIA DAS PROFISSIONAIS, O","-","-","-"
"01363-05","DIA DAS PROFISSIONAIS, O","-","-","-"
"01363-06","DIA DAS PROFISSIONAIS, O","-","-","-"
"01290-01","ESSAS DELICIOSAS MULHERES","-","-","-"
"01290-02","ESSAS DELICIOSAS MULHERES","-","-","-"
"01290-03e04","ESSAS DELICIOSAS MULHERES","-","-","-"
"01327-05","-","-","-","-"
"01327-06","-","-","-","-"
"01318-02","GUERRA É GUERRA","-","-","-"
"01318-01","GUERRA É GUERRA","-","-","-"
"01318-03","GUERRA É GUERRA","-","-","-"
"01318-04","GUERRA É GUERRA","-","-","-"
"01298-05","ABERTURA DA 9a. OLIMPÍADA BAIANA DA PRIMAVERA","-","-","-"
"01298-06","ABERTURA DA 9a. OLIMPÍADA BAIANA DA PRIMAVERA","-","-","-"
"01320-05","OBSESSÃO MALDITA","-","-","-"
"01297-07","SÃO CAETANO : UM NÔVO BAIRRO QUE SURGE NA CIDADE DE SALVADOR","-","-","-"
"01297-08","SÃO CAETANO : UM NÔVO BAIRRO QUE SURGE NA CIDADE DE SALVADOR","-","-","-"
"01320-06","OBSESSÃO MALDITA","-","-","-"
"01320-07","OBSESSÃO MALDITA","-","-","-"
"01320-08","OBSESSÃO MALDITA","-","-","-"
"01319-06","VIGARISTAS DO SEXO, AS","-","-","-"
"04154-07","SIMITERIO DO ADÃO E EVA","-","-","-"
"01357-01","COMPASSO DE ESPERA","-","-","-"
"01198-09","IPANEMA TÔDA NÚA","-","-","-"
