"country_name","program_name","FY1946"
"Afghanistan","Child Survival and Health",
"Afghanistan","Department of Defense Security Assistance",
"Afghanistan","Development Assistance",
"Afghanistan","Economic Support Fund/Security Support Assistance",
"Afghanistan","Food For Education",
"Afghanistan","Global Health and Child Survival",
"Afghanistan","Inactive Programs",
"Afghanistan","Migration and Refugee Assistance",
"Afghanistan","Narcotics Control",
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",
"Afghanistan","Other Active Grant Programs",
"Afghanistan","Other State Assistance",
"Afghanistan","Other USAID Assistance",
"Afghanistan","Other USDA Assistance",
"Afghanistan","Peace Corps",
"Afghanistan","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Afghanistan","Title I",
"Afghanistan","Title II",
"Albania","Child Survival and Health",
"Albania","Department of Defense Security Assistance",
"Albania","Development Assistance",
"Albania","Economic Support Fund/Security Support Assistance",
"Albania","Food For Education",
"Albania","Global Health and Child Survival",
"Albania","Inactive Programs",13000000
"Albania","Migration and Refugee Assistance",
"Albania","Millennium Challenge Corporation",
"Albania","Narcotics Control",
"Albania","Nonproliferation, Anti-Terrorism, Demining and Related",
"Albania","Other Active Grant Programs",
"Albania","Other State Assistance",
"Albania","Other USAID Assistance",
"Albania","Peace Corps",
"Albania","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Albania","Title I",
"Albania","Title II",
"Algeria","Department of Defense Security Assistance",
"Algeria","Economic Support Fund/Security Support Assistance",
"Algeria","Migration and Refugee Assistance",
"Algeria","Narcotics Control",
"Algeria","Nonproliferation, Anti-Terrorism, Demining and Related",
"Algeria","Other Active Grant Programs",
"Algeria","Other State Assistance",
"Algeria","Other USAID Assistance",
"Algeria","Peace Corps",
"Algeria","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Algeria","Title I",
"Algeria","Title II",
"Angola","Child Survival and Health",
"Angola","Development Assistance",
"Angola","Economic Support Fund/Security Support Assistance",
"Angola","Global HIV/AIDS Initiative",
"Angola","Global Health and Child Survival",
"Angola","Migration and Refugee Assistance",
"Angola","Nonproliferation, Anti-Terrorism, Demining and Related",
"Angola","Other Active Grant Programs",
"Angola","Other State Assistance",
"Angola","Other USAID Assistance",
"Angola","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Angola","Title I",
"Angola","Title II",
"Antigua and Barbuda","Department of Defense Security Assistance",
"Antigua and Barbuda","Nonproliferation, Anti-Terrorism, Demining and Related",
"Antigua and Barbuda","Other Active Grant Programs",
"Argentina","Department of Defense Security Assistance",
"Argentina","Economic Support Fund/Security Support Assistance",
"Argentina","Inactive Programs",1000
"Argentina","Migration and Refugee Assistance",
"Argentina","Narcotics Control",
"Argentina","Nonproliferation, Anti-Terrorism, Demining and Related",
"Argentina","Other Active Grant Programs",
"Argentina","Other State Assistance",
"Argentina","Other USAID Assistance",
"Argentina","Other USDA Assistance",
"Argentina","Peace Corps",
"Argentina","Title I",
"Armenia","Child Survival and Health",
"Armenia","Department of Defense Security Assistance",
"Armenia","Development Assistance",
"Armenia","Economic Support Fund/Security Support Assistance",
"Armenia","Global Health and Child Survival",
"Armenia","Migration and Refugee Assistance",
"Armenia","Millennium Challenge Corporation",
"Armenia","Narcotics Control",
"Armenia","Nonproliferation, Anti-Terrorism, Demining and Related",
"Armenia","Other Active Grant Programs",
"Armenia","Other State Assistance",
"Armenia","Other USAID Assistance",
"Armenia","Other USDA Assistance",
"Armenia","Peace Corps",
"Armenia","Section 416(b)/ Commodity Credit Corporation Food for Progress",
"Armenia","Title I",
"Armenia","Title II",
"Asia (not specified)","Child Survival and Health",
